,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
147,Damyean Dotson,Nyk,G,24.93,10.7,1.8,27.4,3.6,0.79,0.14,2018-2019,1378242.0
148,Jalen Brunson,Dal,G,22.61,9.3,3.2,21.8,2.3,0.51,0.05,2018-2019,1230000.0
149,Julius Randle,Nor,F,24.37,21.4,3.1,30.6,8.7,0.71,0.62,2018-2019,8641000.0
150,Jonas Jerebko,Gol,F,32.11,6.3,1.3,16.7,3.9,0.37,0.25,2018-2019,1512601.0
151,Malik Monk,Cha,G,21.18,8.9,1.6,17.2,1.9,0.51,0.26,2018-2019,3447480.0
152,Shaquille Harrison,Chi,G,25.51,6.5,1.9,19.6,3.0,1.22,0.41,2018-2019,1311265.0
153,Gerald Green,Hou,G-F,33.21,9.2,0.5,20.2,2.5,0.45,0.37,2018-2019,1512601.0
154,Josh Richardson,Mia,F,25.57,16.6,4.1,34.8,3.6,1.08,0.45,2018-2019,9367200.0
155,Evan Turner,Por,G-F,30.45,6.8,3.9,22.0,4.5,0.45,0.25,2018-2019,17868853.0
156,Andrew Wiggins,Min,G-F,24.13,18.1,2.5,34.8,4.8,0.97,0.66,2018-2019,25467250.0
157,Russell Westbrook,Okc,G,30.41,22.9,10.7,36.0,11.1,1.95,0.45,2018-2019,35654150.0
158,Luka Doncic,Dal,G-F,20.12,21.2,6.0,32.2,7.8,1.08,0.35,2018-2019,6560640.0
159,Alfonzo McKinnie,Gol,F,26.56,4.7,0.4,13.9,3.4,0.26,0.21,2018-2019,1349383.0
160,Dwyane Wade,Mia,G,37.23,15.0,4.2,26.2,4.0,0.82,0.53,2018-2019,1512601.0
161,Giannis Antetokounmpo,Mil,F,24.35,27.7,5.9,32.8,12.5,1.26,1.53,2018-2019,24157303.0
162,Hassan Whiteside,Mia,C,29.83,12.3,0.8,23.3,11.4,0.64,1.89,2018-2019,25434262.0
163,Gordon Hayward,Bos,F,29.05,11.5,3.4,25.9,4.5,0.82,0.32,2018-2019,31214295.0
164,Thomas Bryant,Was,C,21.7,10.5,1.3,20.8,6.3,0.35,0.93,2018-2019,1378242.0
165,Jusuf Nurkic,Por,C,24.63,15.6,3.2,27.4,10.4,0.97,1.43,2018-2019,11111111.0
166,Jake Layman,Por,F,25.1,7.6,0.7,18.7,3.1,0.44,0.42,2018-2019,1544951.0
167,Deandre Ayton,Pho,C,20.72,16.3,1.8,30.7,10.3,0.87,0.94,2018-2019,8165160.0
168,Maxi Kleber,Dal,F,27.2,6.8,1.0,21.2,4.6,0.51,1.11,2018-2019,1378242.0
169,Yogi Ferrell,Sac,G,25.92,5.9,1.9,15.0,1.5,0.51,0.06,2018-2019,3000000.0
170,CJ McCollum,Por,G,27.56,21.0,3.0,33.9,4.0,0.79,0.39,2018-2019,25759766.0
171,Richaun Holmes,Pho,F-C,25.49,8.2,0.9,16.9,4.7,0.6,1.13,2018-2019,1600520.0
172,Kyle Kuzma,Lal,F,23.72,18.7,2.5,33.1,5.5,0.57,0.37,2018-2019,1689840.0
173,Mike Conley,Mem,G,31.5,21.1,6.4,33.5,3.4,1.34,0.31,2018-2019,30521115.0
174,Bogdan Bogdanovic,Sac,G,26.64,14.1,3.8,27.8,3.5,1.03,0.21,2018-2019,9000000.0
175,Paul Millsap,Den,F,34.16,12.6,2.0,27.1,7.2,1.17,0.77,2018-2019,29230769.0
176,Taj Gibson,Min,F,33.8,10.8,1.2,24.1,6.5,0.76,0.56,2018-2019,14000000.0
177,Stephen Curry,Gol,G,31.07,27.3,5.2,33.8,5.3,1.33,0.38,2018-2019,37457154.0
178,Tyreke Evans,Ind,G,29.56,10.2,2.4,20.3,2.9,0.83,0.28,2018-2019,12400000.0
179,Darius Miller,Nor,F,29.06,8.2,2.1,25.5,1.8,0.58,0.33,2018-2019,2205000.0
180,Rudy Gay,San,F,32.65,13.7,2.6,26.7,6.8,0.78,0.49,2018-2019,10087200.0
181,Dario Saric,Min,F,25.01,10.5,1.5,23.9,5.4,0.6,0.12,2018-2019,2526840.0
