,Name,Salary,Season2
320,Kyle Kuzma,"$1,689,840.00 ",2018-2019
321,Derrick White,"$1,667,160.00 ",2018-2019
322,Julyan Stone,"$1,656,092.00 ",2018-2019
323,Josh Hart,"$1,655,160.00 ",2018-2019
324,Jacob Evans,"$1,644,240.00 ",2018-2019
325,DeAndre' Bembry,"$1,634,640.00 ",2018-2019
326,James Ennis III,"$1,621,415.00 ",2018-2019
327,Luke Kornet,"$1,619,260.00 ",2018-2019
328,Richaun Holmes,"$1,600,520.00 ",2018-2019
329,Dwight Buycks,"$1,600,520.00 ",2018-2019
330,Jahlil Okafor,"$1,567,707.00 ",2018-2019
331,Pascal Siakam,"$1,544,951.00 ",2018-2019
332,Georgios Papagiannis,"$1,544,951.00 ",2018-2019
333,Cheick Diallo,"$1,544,951.00 ",2018-2019
334,Jake Layman,"$1,544,951.00 ",2018-2019
335,Ivica Zubac,"$1,544,951.00 ",2018-2019
336,Wade Baldwin IV,"$1,544,951.00 ",2018-2019
337,Andrew Harrison,"$1,544,951.00 ",2018-2019
338,Paul Zipser,"$1,544,951.00 ",2018-2019
339,Skal Labissiere,"$1,544,951.00 ",2018-2019
340,Tony Bradley,"$1,679,520.00 ",2018-2019
341,Spencer Dinwiddie,"$1,656,092.00 ",2018-2019
342,MarShon Brooks,"$1,656,092.00 ",2018-2019
343,Robert Williams III,"$1,654,440.00 ",2018-2019
344,Pat Connaughton,"$1,641,000.00 ",2018-2019
345,Dzanan Musa,"$1,632,240.00 ",2018-2019
346,Omari Spellman,"$1,620,480.00 ",2018-2019
347,Rodions Kurucs,"$1,618,320.00 ",2018-2019
348,T.J. McConnell,"$1,600,520.00 ",2018-2019
349,Malachi Richardson,"$1,569,360.00 ",2018-2019
350,Willy Hernangomez,"$1,544,951.00 ",2018-2019
351,Dejounte Murray,"$1,544,951.00 ",2018-2019
352,Chinanu Onuaku,"$1,544,951.00 ",2018-2019
353,Timothe Luwawu-Cabarrot,"$1,544,951.00 ",2018-2019
354,Quinn Cook,"$1,544,951.00 ",2018-2019
355,Rodney McGruder,"$1,544,951.00 ",2018-2019
356,Malcolm Brogdon,"$1,544,951.00 ",2018-2019
357,Dorian Finney-Smith,"$1,544,951.00 ",2018-2019
358,Wayne Selden,"$1,544,951.00 ",2018-2019
359,Damian Jones,"$1,544,951.00 ",2018-2019
360,Alex Poythress,"$1,544,951.00 ",2018-2019
361,Omri Casspi,"$1,512,601.00 ",2018-2019
362,Raymond Felton,"$1,512,601.00 ",2018-2019
363,Troy Williams,"$1,512,601.00 ",2018-2019
364,Amir Johnson,"$1,512,601.00 ",2018-2019
365,Jamal Crawford,"$1,512,601.00 ",2018-2019
366,Isaiah Canaan,"$1,512,601.00 ",2018-2019
367,Udonis Haslem,"$1,512,601.00 ",2018-2019
368,JaVale McGee,"$1,512,601.00 ",2018-2019
369,Jeff Green,"$1,512,601.00 ",2018-2019
370,Jonas Jerebko,"$1,512,601.00 ",2018-2019
371,Derrick Rose,"$1,512,601.00 ",2018-2019
372,Zaza Pachulia,"$1,512,601.00 ",2018-2019
373,Gerald Green,"$1,512,601.00 ",2018-2019
374,Channing Frye,"$1,512,601.00 ",2018-2019
375,Treveon Graham,"$1,512,601.00 ",2018-2019
376,Sviatoslav Mykhailiuk,"$1,487,694.00 ",2018-2019
377,Dwayne Bacon,"$1,378,242.00 ",2018-2019
378,Dillon Brooks,"$1,378,242.00 ",2018-2019
379,Thomas Bryant,"$1,378,242.00 ",2018-2019
380,Shelvin Mack,"$1,512,601.00 ",2018-2019
381,Georges Niang,"$1,512,601.00 ",2018-2019
382,Quincy Pondexter,"$1,512,601.00 ",2018-2019
383,Carmelo Anthony,"$1,512,601.00 ",2018-2019
384,David Nwaba,"$1,512,601.00 ",2018-2019
385,Luol Deng,"$1,512,601.00 ",2018-2019
386,Derrick Jones Jr.,"$1,512,601.00 ",2018-2019
387,Dwyane Wade,"$1,512,601.00 ",2018-2019
388,Isaiah Thomas,"$1,512,601.00 ",2018-2019
389,Kevon Looney,"$1,512,601.00 ",2018-2019
390,Christian Wood,"$1,512,601.00 ",2018-2019
391,Jose Calderon,"$1,512,601.00 ",2018-2019
392,Noah Vonleh,"$1,512,601.00 ",2018-2019
393,Devin Harris,"$1,512,601.00 ",2018-2019
394,Ian Clark,"$1,512,601.00 ",2018-2019
395,Vince Carter,"$1,512,601.00 ",2018-2019
396,Mitchell Robinson,"$1,485,440.00 ",2018-2019
397,Tyler Dorsey,"$1,378,242.00 ",2018-2019
398,Dakari Johnson,"$1,378,242.00 ",2018-2019
399,Royce O'Neale,"$1,378,242.00 ",2018-2019
400,Abdel Nader,"$1,378,242.00 ",2018-2019
401,Jawun Evans,"$1,378,242.00 ",2018-2019
402,Khem Birch,"$1,378,242.00 ",2018-2019
403,Damyean Dotson,"$1,378,242.00 ",2018-2019
404,Frank Mason III,"$1,378,242.00 ",2018-2019
405,Rodney Purvis,"$1,378,242.00 ",2018-2019
406,Ike Anigbogu,"$1,378,242.00 ",2018-2019
407,Antonius Cleveland,"$1,378,242.00 ",2018-2019
408,Jordan Bell,"$1,378,242.00 ",2018-2019
409,Sindarius Thornwell,"$1,378,242.00 ",2018-2019
410,Daniel Theis,"$1,378,242.00 ",2018-2019
411,Ben Moore,"$1,349,383.00 ",2018-2019
412,Daniel Hamilton,"$1,349,383.00 ",2018-2019
413,Antonio Blakeney,"$1,349,383.00 ",2018-2019
414,Tyrone Wallace,"$1,349,383.00 ",2018-2019
415,Shaquille Harrison,"$1,311,265.00 ",2018-2019
416,Jalen Brunson,"$1,230,000.00 ",2018-2019
417,Joakim Noah,"$1,093,858.00 ",2018-2019
418,Nick Young,"$1,042,584.00 ",2018-2019
419,Devonte' Graham,"$988,464.00 ",2018-2019
420,Brandon Paul,"$1,378,242.00 ",2018-2019
421,Wes Iwundu,"$1,378,242.00 ",2018-2019
422,Ivan Rabb,"$1,378,242.00 ",2018-2019
423,Jaylen Morris,"$1,378,242.00 ",2018-2019
424,Sterling Brown,"$1,378,242.00 ",2018-2019
425,David Stockton,"$1,378,242.00 ",2018-2019
426,Zhou Qi,"$1,378,242.00 ",2018-2019
427,Maxi Kleber,"$1,378,242.00 ",2018-2019
428,Frank Jackson,"$1,378,242.00 ",2018-2019
429,Semi Ojeleye,"$1,378,242.00 ",2018-2019
430,Jabari Bird,"$1,349,464.00 ",2018-2019
431,Monte Morris,"$1,349,383.00 ",2018-2019
432,Alfonzo McKinnie,"$1,349,383.00 ",2018-2019
433,Ryan Arcidiacono,"$1,349,383.00 ",2018-2019
434,Tyson Chandler,"$1,333,140.00 ",2018-2019
435,Elie Okobo,"$1,238,464.00 ",2018-2019
436,Okaro White,"$1,187,862.00 ",2018-2019
437,Melvin Frazier Jr.,"$1,050,000.00 ",2018-2019
438,Isaac Bonga,"$1,000,000.00 ",2018-2019
439,De'Anthony Melton,"$949,000.00 ",2018-2019
440,Ron Baker,"$948,580.00 ",2018-2019
441,Chasson Randle,"$869,094.00 ",2018-2019
442,Chimezie Metu,"$838,464.00 ",2018-2019
443,Jevon Carter,"$838,464.00 ",2018-2019
444,Isaiah Briscoe,"$838,464.00 ",2018-2019
445,Alize Johnson,"$838,464.00 ",2018-2019
446,Bruce Brown,"$838,464.00 ",2018-2019
447,Keita Bates-Diop,"$838,464.00 ",2018-2019
448,Brad Wanamaker,"$838,464.00 ",2018-2019
449,Kenneth Faried,"$683,661.00 ",2018-2019
450,Gary Clark,"$596,873.00 ",2018-2019
451,Wesley Matthews,"$512,746.00 ",2018-2019
452,Nik Stauskas,"$504,200.00 ",2018-2019
453,Enes Kanter,"$487,109.00 ",2018-2019
454,Chris Boucher,"$457,418.00 ",2018-2019
455,Markieff Morris,"$427,288.00 ",2018-2019
456,Pau Gasol,"$333,285.00 ",2018-2019
457,Jaylen Adams,"$270,014.00 ",2018-2019
458,Jimmer Fredette,"$208,509.00 ",2018-2019
459,Dairis Bertans,"$194,220.00 ",2018-2019
460,Austin Rivers,"$922,943.00 ",2018-2019
461,Hamidou Diallo,"$838,464.00 ",2018-2019
462,Gary Trent Jr.,"$838,464.00 ",2018-2019
463,Ryan Broekhoff,"$838,464.00 ",2018-2019
464,Jarred Vanderbilt,"$838,464.00 ",2018-2019
465,Isaiah Hartenstein,"$838,464.00 ",2018-2019
466,Khyri Thomas,"$838,464.00 ",2018-2019
467,Kenrich Williams,"$838,464.00 ",2018-2019
468,Patrick McCaw,"$777,665.00 ",2018-2019
469,Brandon Goodwin,"$630,032.00 ",2018-2019
470,Bruno Caboclo,"$522,151.00 ",2018-2019
471,Salah Mejri,"$512,746.00 ",2018-2019
472,Jeremy Lin,"$487,109.00 ",2018-2019
473,John Jenkins,"$486,520.00 ",2018-2019
474,Malcolm Miller,"$457,418.00 ",2018-2019
475,Henry Ellenson,"$341,831.00 ",2018-2019
476,Andrew Bogut,"$307,648.00 ",2018-2019
477,Danuel House Jr.,"$247,827.00 ",2018-2019
478,Tim Frazier,"$196,553.00 ",2018-2019
479,Ray Spalding,"$184,746.00 ",2018-2019
480,Deonte Burton,"$151,587.00 ",2018-2019
481,Chris Chiozza,"$90,005.00 ",2018-2019
482,Donatas Motiejunas,"$59,820.00 ",2018-2019
483,Michael Carter-Williams,"$59,820.00 ",2018-2019
484,Jemerrio Jones,"$52,108.00 ",2018-2019
485,Mitchell Creek,"$47,371.00 ",2018-2019
